,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
0,2010,ACURA,CSX,COMPACT,2.0,4,AS5,X,10.9,7.8,9.5,30.0,219.0
1,2010,ACURA,CSX,COMPACT,2.0,4,M5,X,10.0,7.6,8.9,32.0,205.0
2,2010,ACURA,CSX,COMPACT,2.0,4,M6,Z,11.6,8.1,10.0,28.0,230.0
3,2010,ACURA,MDX AWD,SUV,3.7,6,AS6,Z,14.8,11.3,13.2,21.0,304.0
4,2010,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,13.2,10.3,11.9,24.0,274.0
5,2010,ACURA,RL AWD,MID-SIZE,3.7,6,AS5,Z,14.7,10.6,12.9,22.0,297.0
6,2010,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,13.1,8.9,11.2,25.0,258.0
7,2010,ACURA,TL AWD,MID-SIZE,3.7,6,AS5,Z,13.8,9.6,11.9,24.0,274.0
8,2010,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24.0,267.0
9,2010,ACURA,TSX,COMPACT,2.4,4,AS5,Z,11.0,7.8,9.5,30.0,219.0
10,2010,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.9,8.3,10.3,27.0,237.0
11,2010,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.8,8.8,11.0,26.0,253.0
12,2010,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,AS6,Z,18.0,11.9,15.2,19.0,350.0
13,2010,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,M6,Z,20.8,13.7,17.6,16.0,405.0
14,2010,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,AS6,Z,20.0,13.1,16.9,17.0,389.0
15,2010,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,M6,Z,21.1,14.2,18.0,16.0,414.0
16,2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,17.1,11.7,14.7,19.0,338.0
17,2010,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,19.3,12.7,16.3,17.0,375.0
18,2010,AUDI,A3,STATION WAGON - SMALL,2.0,4,AS6,Z,10.8,8.2,9.6,29.0,221.0
19,2010,AUDI,A3,STATION WAGON - SMALL,2.0,4,M6,Z,11.8,8.0,10.1,28.0,232.0
20,2010,AUDI,A3 QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,11.0,8.9,10.0,28.0,230.0
21,2010,AUDI,A3 TDI (modified),STATION WAGON - SMALL,2.0,4,AS6,D,8.1,6.4,7.4,38.0,198.0
22,2010,AUDI,A4,COMPACT,2.0,4,AV,Z,10.2,7.8,9.1,31.0,209.0
23,2010,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2.0,4,AS6,Z,11.5,8.7,10.2,28.0,235.0
24,2010,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS6,Z,11.5,8.7,10.2,28.0,235.0
25,2010,AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.8,9.4,30.0,216.0
26,2010,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS6,Z,11.5,8.9,10.3,27.0,237.0
27,2010,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,AS6,Z,11.5,8.7,10.2,28.0,235.0
28,2010,AUDI,A5 COUPE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.8,9.4,30.0,216.0
29,2010,AUDI,A5 COUPE,SUBCOMPACT,3.2,6,AS6,Z,13.1,9.0,11.3,25.0,260.0
30,2010,AUDI,A6,MID-SIZE,3.2,6,AV,Z,12.9,8.5,10.9,26.0,251.0
31,2010,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.0,6,AS6,Z,13.5,9.5,11.7,24.0,269.0
32,2010,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS6,Z,13.5,9.5,11.7,24.0,269.0
33,2010,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,14.7,10.3,12.7,22.0,292.0
34,2010,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,14.7,10.3,12.7,22.0,292.0
35,2010,AUDI,A8 L,FULL-SIZE,4.2,8,AS6,Z,14.7,10.3,12.7,22.0,292.0
36,2010,AUDI,Q5,SUV,3.2,6,AS6,Z,13.0,10.6,11.9,24.0,274.0
37,2010,AUDI,Q7,SUV,3.6,6,AS6,Z,16.5,12.2,14.6,19.0,336.0
38,2010,AUDI,Q7,SUV,4.2,8,AS6,Z,17.9,13.1,15.7,18.0,361.0
39,2010,AUDI,Q7 TDI (modified),SUV,3.0,6,AS6,D,13.8,9.8,11.7,24.0,316.0
40,2010,AUDI,R8,TWO-SEATER,4.2,8,AS6,Z,18.8,12.9,16.2,17.0,373.0
41,2010,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,18.9,12.1,15.9,18.0,366.0
42,2010,AUDI,R8,TWO-SEATER,5.2,10,AS6,Z,18.3,13.1,16.0,18.0,368.0
